location,region,ex_1960,ex_2012
ABW,Latin America & Caribbean,65.56936585,75.2067561
AND,South Asia,,
AFG,Sub-Saharan Africa,31.58004878,60.50912195
AGO,Europe & Central Asia,32.98482927,51.464
ALB,Europe & Central Asia,62.25436585,77.35046341
ANR,,,
ARB,Middle East & North Africa,46.76269485,69.94970243
ARE,Latin America & Caribbean,52.24321951,76.95787805
ARG,Europe & Central Asia,65.21553659,76.01268293
ARM,East Asia & Pacific,65.86346341,74.43721951
ASM,Latin America & Caribbean,,
ATG,East Asia & Pacific,61.78273171,75.66531707
AUS,Europe & Central Asia,70.81707317,82.09512195
AUT,Europe & Central Asia,68.58560976,80.93658537
AZE,Sub-Saharan Africa,60.8362439,70.62495122
BDI,Europe & Central Asia,41.23604878,53.6287561
BEL,Sub-Saharan Africa,69.70195122,80.38536585
BEN,Sub-Saharan Africa,37.27826829,59.1194878
BFA,South Asia,34.47790244,55.86202439
BGD,Europe & Central Asia,47.02456098,70.29485366
BGR,Middle East & North Africa,69.24756098,74.31463415
BHR,Latin America & Caribbean,52.08936585,76.53619512
BHS,Europe & Central Asia,62.72904878,74.91446341
BIH,Europe & Central Asia,60.27621951,76.12114634
BLR,Latin America & Caribbean,67.70809756,72.06341463
BLZ,North America,59.96136585,73.69914634
BMU,Latin America & Caribbean,,79.28853659
BOL,Latin America & Caribbean,42.66812195,66.92663415
BRA,Latin America & Caribbean,54.69214634,73.61787805
BRB,East Asia & Pacific,60.76660976,75.13202439
BRN,South Asia,62.45756098,78.37346341
BTN,Sub-Saharan Africa,32.35936585,67.88926829
BWA,,50.5362439,46.99070732
CAA,Sub-Saharan Africa,,
CAF,North America,36.48263415,49.47539024
CAN,,71.13317073,81.23804878
CEA,,,
CEB,,67.82376579,76.04586273
CEU,Europe & Central Asia,,
CHE,Europe & Central Asia,71.31341463,82.69756098
CHI,Latin America & Caribbean,70.63978049,80.11982927
CHL,East Asia & Pacific,57.02153659,79.57265854
CHN,Sub-Saharan Africa,43.46580488,75.1995122
CIV,,36.87241463,50.40173171
CLA,,,
CME,Sub-Saharan Africa,,
CMR,Sub-Saharan Africa,41.5237561,54.5875122
COG,Sub-Saharan Africa,48.58163415,58.29656098
COL,Latin America & Caribbean,56.7167561,73.77707317
COM,Sub-Saharan Africa,43.44195122,60.644
CPV,Sub-Saharan Africa,49.00136585,74.54373171
CRI,Latin America & Caribbean,61.60636585,79.70502439
CSA,,,
CSS,,61.99397507,71.7986121
CUB,Latin America & Caribbean,63.90465854,79.06702439
CUW,Latin America & Caribbean,,
CYM,Latin America & Caribbean,,
CYP,Europe & Central Asia,69.59392683,79.63712195
CZE,Europe & Central Asia,70.34878049,78.07560976
DEU,Europe & Central Asia,69.31295122,80.89268293
DJI,Middle East & North Africa,44.02126829,61.30397561
DMA,Latin America & Caribbean,,
DNK,Europe & Central Asia,72.17658537,80.05121951
DOM,Latin America & Caribbean,51.84526829,73.23297561
DZA,Middle East & North Africa,46.13512195,70.88217073
EAP,,45.18954011,73.82225341
EAS,,47.9863339,74.73287191
ECA,,61.6438744,72.27343455
ECS,,67.0313818,76.70376109
ECU,Latin America & Caribbean,53.12443902,76.19256098
EGY,Middle East & North Africa,48.01370732,70.9072439
EMU,,69.26723926,81.61444514
ERI,Sub-Saharan Africa,37.36290244,62.23478049
ESP,Europe & Central Asia,69.10926829,82.37804878
EST,Europe & Central Asia,67.90597561,76.42682927
ETH,Sub-Saharan Africa,38.40570732,62.96595122
EUU,,69.27929036,80.54442826
FCS,,41.04432406,59.95914097
FIN,Europe & Central Asia,68.8197561,80.62682927
FJI,East Asia & Pacific,55.9584878,69.74473171
FRA,Europe & Central Asia,69.86829268,82.56585366
FRO,Europe & Central Asia,,82.03902439
FSM,East Asia & Pacific,57.58658537,68.85021951
GAB,Sub-Saharan Africa,39.55780488,63.07392683
GBR,Europe & Central Asia,71.12682927,81.5
GEO,Europe & Central Asia,63.43185366,73.94487805
GHA,Sub-Saharan Africa,45.83146341,60.94712195
GIN,Sub-Saharan Africa,34.88639024,55.84465854
GMB,Sub-Saharan Africa,32.04221951,58.60707317
GNB,Sub-Saharan Africa,42.14541463,54.03363415
GNQ,Sub-Saharan Africa,36.73304878,52.61290244
GRC,Europe & Central Asia,68.16390244,80.63414634
GRD,Latin America & Caribbean,59.81592683,72.61034146
GRL,Europe & Central Asia,,
GTM,Latin America & Caribbean,45.53163415,71.66385366
GUM,East Asia & Pacific,61.22634146,78.61856098
